major,minor,patch,linearized,count
1, 1, 438, 1.499431, 1
1, 0, 1427168296866, 1.333333, 1
1, 0, 20141006, 1.333333, 1
1, 7, 89, 1.799559, 1
0, 18, 16, 0.904255, 2
0, 20140718, 0, 1.000000, 1
2014, 262, 1615, 2014.992453, 1
1, 0, 1432068668971, 1.333333, 1
2014, 260, 1530, 2014.992395, 1
0, 0, 353, 0.332079, 2
3, 0, 45, 3.323741, 1
0, 1, 849, 0.499706, 1
3, 18, 6, 3.903614, 1
2015, 8, 29, 2015.817109, 2
2, 9, 28, 2.832402, 1
0, 10, 59, 0.845765, 1
1, 0, 188, 1.330986, 1
0, 1, 339, 0.499266, 3
1, 12, 20, 1.865854, 5
2014, 101, 4, 2014.980707, 1
0, 3, 164, 0.665996, 3
0, 9, 147, 0.833147, 2
0, 15, 12, 0.888000, 7
0, 5, 141, 0.749562, 1
3, 7, 13, 3.797297, 3
2014, 258, 1600, 2014.992337, 1
0, 11, 100, 0.856942, 1
2014, 11, 26, 2014.856410, 1
1, 0, 30000051, 1.333333, 1
2014, 265, 1430, 2014.992537, 1
20, 0, 0, 20.000000, 4
2, 0, 76, 2.327586, 1
1, 0, 513, 1.332469, 1
1, 7, 38, 1.798995, 1
1, 3, 78, 1.665272, 1
6, 63, 4, 6.969543, 1
2014, 262, 1700, 2014.992453, 1
0, 4, 46, 0.712575, 12
0, 0, 198, 0.331104, 3
1, 43, 2, 1.956044, 1
0, 1, 1020, 0.499755, 1
1, 7, 58, 1.799331, 1
2, 3, 32, 2.663366, 2
17, 25, 0, 17.925926, 1
1, 0, 219, 1.331316, 1
5, 5, 14, 5.746032, 1
0, 1, 510, 0.499511, 1
1, 6, 40, 1.776596, 2
2014, 106, 2, 2014.981567, 1
1, 201509190207, 1, 2.000000, 1
1, 8, 11, 1.815603, 21
4, 6, 6, 4.771429, 9
5, 3, 32, 5.663366, 1
0, 5, 16, 0.746479, 114
1, 0, 1442886779609, 1.333333, 1
0, 98, 3, 0.980119, 1
0, 11, 3, 0.852941, 234
3, 3, 30, 3.663158, 1
1, 0, 30000094, 1.333333, 1
12, 8, 24, 12.816901, 1
0, 8, 40, 0.817391, 14
1, 23, 1, 1.921053, 6
2014, 118, 43, 2014.983465, 1
1, 3, 35, 1.663636, 8
0, 20, 9, 0.912351, 4
1, 10, 34, 1.845494, 1
0, 4, 139, 0.713706, 1
0, 0, 91, 0.328520, 77
8, 8, 4, 8.812500, 1
0, 8, 171, 0.817991, 2
2014, 260, 1215, 2014.992395, 1
0, 46, 2, 0.958763, 6
0, 0, 601, 0.332595, 2
3, 36, 1, 3.947826, 1
1, 201509080005, 1, 2.000000, 1
6, 30, 0, 6.937500, 1
0, 90, 32, 0.978481, 5
1, 2, 19, 1.592233, 55
6, 41, 0, 6.953488, 1
1, 0, 356, 1.332090, 1
7, 0, 0, 7.000000, 151
0, 1, 27, 0.491228, 313
0, 7, 132, 0.799701, 3
1, 0, 1438221917663, 1.333333, 1
12, 6, 4, 12.769231, 1
2014, 9, 17, 2014.831858, 1
2015, 6, 8, 2015.772727, 1
2, 0, 51, 2.324841, 7
1, 0, 20140319, 1.333333, 1
0, 0, 20150721063837, 0.333333, 2
1, 19, 6, 1.908046, 2
0, 155, 0, 0.987261, 1
0, 0, 20150904, 0.333333, 1
25, 0, 15, 25.306122, 1
0, 1, 557, 0.499552, 1
0, 16, 30, 0.894389, 1
0, 1, 1055, 0.499763, 1
0, 6, 35, 0.776435, 6
0, 2, 67, 0.597668, 20
0, 8, 208, 0.818024, 1
1, 0, 1438638970017, 1.333333, 1
