major,minor,patch,linearized,count,avg_time,min_time,max_time
0,12,1,0.860465,423,25600680.357000,0.000000,130280261.000000
0,12,2,0.862069,271,23946113.922500,0.000000,130949699.000000
0,12,3,0.863014,192,26247757.104200,0.000000,130861954.000000
0,12,4,0.863636,141,25143408.007100,0.000000,122529199.000000
0,12,5,0.864078,112,24271685.187500,0.000000,90604503.000000
0,13,0,0.866667,581,24586575.101500,0.000000,121833559.000000
0,13,1,0.869565,294,25158507.384400,0.000000,110892402.000000
0,13,2,0.870968,197,24594242.264000,0.000000,109745499.000000
0,13,3,0.871795,136,26162503.404400,0.000000,111477269.000000
0,14,0,0.875000,499,24556332.843700,0.000000,129916668.000000
0,14,1,0.877551,241,25712431.257300,0.000000,129864170.000000
0,14,2,0.878788,162,25410873.524700,0.000000,142483314.000000
0,14,3,0.879518,104,24854334.500000,1819.000000,133470600.000000
0,15,0,0.882353,392,27221329.270400,0.000000,144471040.000000
0,15,1,0.884615,169,30578551.775100,4635.000000,145072148.000000
0,15,2,0.885714,102,31775743.911800,728042.000000,145809784.000000
0,16,0,0.888889,297,27266171.979800,0.000000,134349808.000000
0,16,1,0.890909,127,26320193.889800,0.000000,100993693.000000
0,17,0,0.894737,273,26370796.157500,0.000000,107441228.000000
0,17,1,0.896552,117,27743913.401700,0.000000,84419841.000000
0,18,0,0.900000,217,27172747.755800,0.000000,109375401.000000
0,18,1,0.901639,100,28127464.580000,0.000000,112737317.000000
0,19,0,0.904762,182,29753054.631900,0.000000,112469200.000000
0,2,0,0.500000,25918,7628482.917100,0.000000,135390020.000000
0,2,1,0.538462,15204,8933191.075900,0.000000,143667797.000000
0,2,10,0.586207,1049,16699056.372700,0.000000,119965687.000000
0,2,11,0.587302,898,17209188.224900,0.000000,117138058.000000
0,2,12,0.588235,733,17813167.970000,0.000000,119553634.000000
0,2,13,0.589041,619,17749658.693100,0.000000,121539193.000000
0,2,14,0.589744,518,18021215.739400,0.000000,121626933.000000
0,2,15,0.590361,469,18128752.690800,0.000000,122927142.000000
0,2,16,0.590909,405,18433548.484000,0.000000,125106312.000000
0,2,17,0.591398,351,18535013.868900,108.000000,118486764.000000
0,2,18,0.591837,312,18112413.679500,0.000000,119038526.000000
0,2,19,0.592233,273,18317260.963400,0.000000,121386070.000000
0,2,2,0.555556,9986,10036797.045100,0.000000,141526367.000000
